order_gk,offer_id
3000553046892,300050617575
3000553746843,300050642832
3000589083174,300051249218
3000617528734,300051723943
3000582416523,300050961873
3000625666341,300051996067
3000627133710,300052039606
3000622793856,300051788269
3000627255924,300052056935
3000627131676,300052036042
3000627156776,300052043018
3000632798362,300052398497
3000624767894,300051931188
3000632120503,300052352582
3000622140651,300051751606
3000630531592,300052299991
3000622818500,300051793068
3000626166111,300052017976
3000580051478,300050948176
3000592122741,300051358730
3000629281094,300052218934
3000629882259,300052264016
3000629180702,300052209128
3000629433350,300052236177
3000553496923,300050630628
3000624941050,300051955178
3000628432935,300052139385
3000622840664,300051795375
3000627134289,300052040601
3000622791713,300051784967
3000623017308,300051815473
3000627157076,300052044443
3000626216169,300052020895
3000630658332,300052311169
3000631306996,300052344281
3000628507137,300052147346
3000631180959,300052333480
3000630757269,300052317281
3000632371581,300052377172
3000627232455,300052055955
3000577177579,300050811876
3000582817133,300050971484
3000587181581,300051159630
3000596120895,300051555133
3000595895730,300051551449
3000595146806,300051525640
3000617676156,300051731537
3000588456534,300051214369
3000595421676,300051530506
3000617553535,300051727020
3000578875958,300050910451
3000588806868,300051239946
3000588831022,300051241858
3000596121340,300051555533
3000557286579,300050762760
3000585116375,300051104780
3000582817489,300050971930
3000597010560,300051569570
3000595747137,300051546521
3000595246120,300051527145
3000599311072,300051655243
3000599285934,300051653089
3000592796431,300051386357
3000577950797,300050849301
3000583790997,300051030149
3000585141733,300051107064
3000579150702,300050914809
3000594321416,300051474226
3000594321851,300051474785
3000588456773,300051214867
3000593147269,300051410187
3000599311841,300051656147
3000618151391,300051746855
3000583493279,300051008622
3000578501108,300050882510
3000578704248,300050900135
3000585141798,300051107118
3000588081189,300051198658
3000590082073,300051309450
3000595796462,300051549686
3000597787135,300051585613
3000599336576,300051658764
3000595746611,300051545905
3000600111860,300051696680
3000557136503,300050755392
3000579401644,300050928024
3000585141520,300051106896
3000589756858,300051287190
3000552970739,300050612759
3000554321633,300050665342
3000554371563,300050669213
3000557787757,300050781273
3000590681866,300051330592
3000599086520,300051641980
3000584791581,300051083853
3000624117270,300051886283
3000623466055,300051844050
3000624916447,300051952772
3000625666573,300051996344
3000625916049,300052010782
3000628633795,300052163618
3000577351215,300050821350
3000630655912,300052307714
3000630107355,300052285416
3000632321819,300052372849
3000578475694,300050879225
3000582315800,300050958835
3000585940629,300051134144
3000623591594,300051854207
3000624141234,300051888647
3000625517290,300051987249
3000627807692,300052104122
3000623466095,300051843955
